"country","iso","year","month","total","financial","humanitarian","military","commitments","to_be_allocated","gdp","pct_gdp"
"Canada","CAN",2022,2,0.383437,0.346688,0,0.036749,0.372343,-0.011094,1681.12671460999,0.0228083342360635
"Canada","CAN",2022,3,0.048747,0,0.035843,0.012904,0.08459,0.035843,1681.12671460999,0.00289966244521366
"Canada","CAN",2022,4,0.763992,0.732476,0,0.031516,1.171962,0.40797,1681.12671460999,0.0454452358266903
"Canada","CAN",2022,5,0.302466,0.183982,0.009567,0.108917,0.185453,-0.117013,1681.12671460999,0.0179918620869796
"Canada","CAN",2022,6,0.506798,0.147745,0.165992,0.193061,0.248729,-0.258069,1681.12671460999,0.0301463295773974
"Canada","CAN",2022,8,0.002944,0.002944,0,0,0.002944,0,1681.12671460999,0.000175120648218537
"Canada","CAN",2022,10,0.442366,0.407493,0,0.034873,0.407493,-0.034873,1681.12671460999,0.0263136619123102
"Canada","CAN",2022,11,0.761584,0,0.007295,0.754289,0.396841,-0.364743,1681.12671460999,0.0453019985573594
"Canada","CAN",2022,12,0.161198,0.081218,0.07998,0,0.161198,0,1681.12671460999,0.00958868826478657
"Canada","CAN",2023,1,0.071503,0,0,0.071503,0.007942,-0.063561,1681.12671460999,0.00425327843395721
"Canada","CAN",2023,2,0.038816,0,0,0.038816,0.038816,0,1681.12671460999,0.00230892767705527
"Canada","CAN",2023,3,0.021403,0,0,0.021403,0.021403,0,1681.12671460999,0.00127313425061866
"Canada","CAN",2023,4,1.688862,1.622541,0,0.066321,1.688863,0.000001,1681.12671460999,0.1004601250651
"Canada","CAN",2023,5,0.017991,0,0,0.017991,0.017991,0,1681.12671460999,0.0010701751297893
"Canada","CAN",2023,6,0,0,0,0,0.326073,0.326073,1681.12671460999,0
"Canada","CAN",2023,7,0.035231,0,0.001847,0.033384,0.001847,-0.033384,1681.12671460999,0.00209567783878643
"Canada","CAN",2023,9,0.530719,0,0.005741,0.524978,0.155603,-0.375116,1681.12671460999,0.0315692443280888
"Canada","CAN",2023,10,0.069087,0,0,0.069087,0,-0.069087,1681.12671460999,0.0041095652932996
"Canada","CAN",2023,11,0.040464,0,0,0.040464,0.347317,0.306853,1681.12671460999,0.00240695717035152
"Canada","CAN",2024,1,0.01367,0,0,0.01367,0,-0.01367,1681.12671460999,0.000813145129465827
"Canada","CAN",2024,2,0.212559,0,0.106135,0.106424,1.9634,1.750841,1681.12671460999,0.0126438416659932
"Canada","CAN",2024,3,1.390393,1.358137,0,0.032256,0,-1.390393,1681.12671460999,0.0827060201897132
"Canada","CAN",2024,4,0.019213,0,0,0.019213,0.532029,0.512816,1681.12671460999,0.00114286447493979
"Canada","CAN",2024,5,0.051422,0,0,0.051422,0,-0.051422,1681.12671460999,0.00305878192007255
"Canada","CAN",2024,6,0.041856,0.010441,0.025085,0.00633,0.035526,-0.00633,1681.12671460999,0.00248975878119398
"Canada","CAN",2024,7,0.037664,0,0,0.037664,0.373951,0.336287,1681.12671460999,0.00224040220601323
"Canada","CAN",2024,8,0.010432,0,0.010432,0,0.010432,0,1681.12671460999,0.000620536209991771
"Canada","CAN",2024,9,0.081962,0,0,0.081962,0,-0.081962,1681.12671460999,0.00487542070967653
"Canada","CAN",2024,10,0.30301,0.266793,0,0.036217,3.601702,3.298692,1681.12671460999,0.0180242213371939
"Canada","CAN",2025,1,0.297913,0,0,0.297913,0,-0.297913,1681.12671460999,0.0177210318181824
"Canada","CAN",2025,2,1.776631,1.678602,0.011549,0.08648,0.03148,-1.745151,1681.12671460999,0.105680968874031
"Canada","CAN",2025,3,0.03222,0,0.03222,0,0.03222,0,1681.12671460999,0.00191657176820695
"Canada","CAN",2025,6,1.569996,1.459964,0.007871,0.102161,1.277405,-0.292591,1681.12671460999,0.0933895099254448
"Canada","CAN",2025,7,0.125142,0.125142,0,0,0,-0.125142,1681.12671460999,0.00744393619543618
"Canada","CAN",2025,8,1.265036,0,0.01947,1.245566,0.00794,-1.257096,1681.12671460999,0.0752492949523725
"Canada","CAN",2025,9,0.001849,0,0.001849,0,0.001849,0,1681.12671460999,0.000109985760379101
"Canada","CAN",2025,10,0.025798,0,0,0.025798,0.007371,-0.018427,1681.12671460999,0.00153456606071393
"Canada","CAN",2025,11,0.089241,0,0,0.089241,0,-0.089241,1681.12671460999,0.00530840413304022
"Canada","CAN",2025,12,0.17627,0,0,0.17627,1.546232,1.369962,1681.12671460999,0.0104852298442532
"Canada","CAN",2026,2,0.39118,0,0.012391,0.378789,1.053254,0.662074,1681.12671460999,0.0232689181963747
"Canada","CAN",2026,3,0.032244,0,0.032244,0,0.032244,0,1681.12671460999,0.00191799938218699
"China","CHN",2022,3,0.002145,0,0.002145,0,0.002145,0,14994.0460253773,0.0000143056783764009
"China","CHN",2023,3,0.0002,0,0.0002,0,0.0002,0,14994.0460253773,0.0000013338627856784
"Croatia","HRV",2022,2,0.017667,0,0.001208,0.016459,0.017667,0,58.3011187601044,0.0303030205521366
"Croatia","HRV",2022,4,0.000201,0,0.000201,0,0.000201,0,58.3011187601044,0.000344761823228587
"Croatia","HRV",2022,5,0,0,0,0,0.005,0.005,58.3011187601044,0
"Croatia","HRV",2022,6,0.000033,0,0.000033,0,0.000033,0,58.3011187601044,0.0000566026873957382
"Croatia","HRV",2022,11,0.062333,0,0,0.062333,0.062333,0,58.3011187601044,0.106915615558744
"Croatia","HRV",2022,12,0.003,0,0.003,0,0.003,0,58.3011187601044,0.00514569885415802
"Croatia","HRV",2023,1,0.002155,0,0.002155,0,0.002155,0,58.3011187601044,0.00369632701023684
